,id,source,timestamp,Time,Lat,Lon,Depth,sun,Bt,Bij,Bl
78,sun,SimSenS,2008-08-24 15:00:02,54000,,,,0.7071067811865477,30,,
79,sun,SimSenS,2008-08-24 15:30:02,55800,,,,0.6087614290090987,31,,
80,sun,SimSenS,2008-08-24 16:00:02,57600,,,,0.4999999999995882,32,,
81,sun,SimSenS,2008-08-24 16:30:02,59400,,,,0.38268343236509045,33,,
82,sun,SimSenS,2008-08-24 17:00:02,61200,,,,0.2588190451029806,34,,
83,sun,SimSenS,2008-08-24 17:30:02,63000,,,,0.13052619221957976,35,,
84,sun,SimSenS,2008-08-24 18:00:02,64800,,,,3.061616997868383e-16,36,,
85,sun,SimSenS,2008-08-24 18:30:02,66600,,,,0.0,37,,
86,sun,SimSenS,2008-08-24 19:00:02,68400,,,,0.0,38,,
87,sun,SimSenS,2008-08-24 19:30:02,70200,,,,0.0,39,,
88,sun,SimSenS,2008-08-24 20:00:02,72000,,,,0.0,40,,
89,sun,SimSenS,2008-08-24 20:30:02,73800,,,,0.0,41,,
90,sun,SimSenS,2008-08-24 21:00:02,75600,,,,0.0,42,,
91,sun,SimSenS,2008-08-24 21:30:02,77400,,,,0.0,43,,
92,sun,SimSenS,2008-08-24 22:00:02,79200,,,,0.0,44,,
93,sun,SimSenS,2008-08-24 22:30:02,81000,,,,0.0,45,,
94,sun,SimSenS,2008-08-24 23:00:02,82800,,,,0.0,46,,
95,sun,SimSenS,2008-08-24 23:30:02,84600,,,,0.0,47,,
96,sun,SimSenS,2008-08-25 00:00:02,0,,,,0.0,0,,
97,sun,SimSenS,2008-08-25 00:30:02,1800,,,,0.0,1,,
98,sun,SimSenS,2008-08-25 01:00:02,3600,,,,0.0,2,,
99,sun,SimSenS,2008-08-25 01:30:02,5400,,,,0.0,3,,
