time (s), x (m), y (m), z (m), rho
726.17,25.705,-358.96,-1.2059,2.2912e-07
732.77,22.178,-356.24,-1.1894,4.3138e-07
739.38,18.682,-353.55,-1.173,7.8364e-07
745.98,15.218,-350.88,-1.1567,1.3743e-06
752.58,11.787,-348.24,-1.1405,2.3284e-06
759.18,8.3901,-345.63,-1.1243,3.8131e-06
765.78,5.0293,-343.05,-1.1083,6.0403e-06
772.38,1.7058,-340.5,-1.0924,9.2617e-06
778.99,-1.579,-337.98,-1.0766,1.3756e-05
785.59,-4.8236,-335.49,-1.061,1.6206e-05
792.19,-8.0267,-333.04,-1.0455,2.2397e-05
798.79,-11.187,-330.61,-1.0301,3.0049e-05
805.39,-14.303,-328.22,-1.015,3.917e-05
811.99,-17.372,-325.86,-0.99997,4.9654e-05
818.6,-20.395,-323.54,-0.98514,6.1272e-05
825.2,-23.369,-321.25,-0.97051,7.3669e-05
831.8,-26.294,-319,-0.95607,8.6389e-05
838.4,-29.166,-316.79,-0.94184,9.8907e-05
845,-31.986,-314.61,-0.92783,0.00011067
851.6,-34.752,-312.47,-0.91404,0.00012116
858.2,-37.462,-310.37,-0.90048,0.00012992
864.81,-40.115,-308.31,-0.88716,0.00013659
871.41,-42.709,-306.29,-0.8741,0.00014096
878.01,-45.244,-304.31,-0.86129,0.00014296
884.61,-47.717,-302.37,-0.84875,0.00014264
891.21,-50.128,-300.47,-0.83649,0.00014017
897.81,-52.474,-298.62,-0.82451,0.00013583
904.42,-54.755,-296.8,-0.81283,7.6617e-05
911.02,-56.969,-295.04,-0.80145,7.1696e-05
917.62,-59.115,-293.31,-0.79038,6.6423e-05
924.22,-61.191,-291.63,-0.77963,6.1e-05
930.82,-63.195,-290,-0.76921,5.5596e-05
937.42,-65.127,-288.42,-0.75913,5.0346e-05
944.03,-66.986,-286.88,-0.74939,4.5354e-05
950.63,-68.769,-285.39,-0.74001,4.0689e-05
957.23,-70.475,-283.95,-0.731,3.6396e-05
963.83,-72.102,-282.55,-0.72236,3.2496e-05
970.43,-73.65,-281.21,-0.71409,2.8992e-05
977.03,-75.118,-279.92,-0.70622,2.5873e-05
983.63,-76.502,-278.68,-0.69875,2.3121e-05
990.24,-77.803,-277.49,-0.69168,2.071e-05
996.84,-79.019,-276.35,-0.68504,1.8612e-05
1003.4,-80.148,-275.27,-0.67881,1.6799e-05
1010,-81.189,-274.24,-0.67302,1.5242e-05
1016.6,-82.14,-273.26,-0.66768,1.3913e-05
1023.2,-83,-272.35,-0.66278,7.9723e-06
1029.8,-83.768,-271.48,-0.65835,7.4917e-06
1036.4,-84.443,-270.67,-0.65438,7.0877e-06
1043,-85.022,-269.92,-0.65089,6.7514e-06
1049.7,-85.505,-269.23,-0.64789,6.4749e-06
1056.3,-85.895,-268.6,-0.64535,6.2493e-06
1062.9,-86.261,-267.97,-0.64294,6.0464e-06
1069.5,-86.624,-267.35,-0.64054,5.8588e-06
1076.1,-86.985,-266.74,-0.63814,5.6869e-06
1082.7,-87.343,-266.12,-0.63576,5.5314e-06
1089.3,-87.699,-265.51,-0.63338,5.3927e-06
1095.9,-88.052,-264.89,-0.63101,5.2713e-06
1102.5,-88.403,-264.28,-0.62865,5.1679e-06
1109.1,-88.751,-263.67,-0.62631,5.083e-06
1115.7,-89.098,-263.07,-0.62397,5.0172e-06
1122.3,-89.441,-262.46,-0.62163,4.9713e-06
1128.9,-89.782,-261.86,-0.61931,4.946e-06
1135.5,-90.121,-261.26,-0.617,4.9421e-06
1142.1,-90.457,-260.66,-0.6147,5.6412e-06
1148.7,-90.791,-260.06,-0.6124,5.688e-06
1155.3,-91.123,-259.47,-0.61011,5.7613e-06
1161.9,-91.452,-258.88,-0.60784,5.8621e-06
1168.5,-91.779,-258.28,-0.60557,5.9918e-06
1175.1,-92.103,-257.69,-0.60331,6.1514e-06
1181.7,-92.425,-257.11,-0.60106,6.3423e-06
1188.3,-92.745,-256.52,-0.59882,6.5657e-06
1194.9,-93.062,-255.94,-0.59659,6.8231e-06
1201.5,-93.377,-255.35,-0.59436,7.1159e-06
1208.1,-93.689,-254.77,-0.59215,7.4457e-06
1214.7,-93.999,-254.19,-0.58994,7.8141e-06
1221.3,-94.307,-253.62,-0.58775,8.2226e-06
1227.9,-94.612,-253.04,-0.58556,8.6731e-06
1234.5,-94.915,-252.47,-0.58338,9.1674e-06
1241.1,-95.216,-251.9,-0.58121,9.7072e-06
1247.7,-95.514,-251.33,-0.57905,1.0295e-05
1254.3,-95.81,-250.76,-0.57689,1.0931e-05
1260.9,-96.104,-250.19,-0.57475,1.3859e-05
1267.5,-96.396,-249.63,-0.57261,1.4637e-05
1274.1,-96.685,-249.07,-0.57048,1.548e-05
1280.7,-96.971,-248.51,-0.56837,1.6389e-05
1287.3,-97.256,-247.95,-0.56626,1.7367e-05
1293.9,-97.538,-247.39,-0.56415,1.8416e-05
1300.5,-97.818,-246.84,-0.56206,1.9539e-05
1307.1,-98.096,-246.28,-0.55998,2.0739e-05
1313.7,-98.371,-245.73,-0.5579,2.2017e-05
1320.3,-98.644,-245.18,-0.55583,2.3377e-05
1326.9,-98.915,-244.63,-0.55377,2.4821e-05
1333.5,-99.183,-244.08,-0.55172,2.6352e-05
1340.1,-99.449,-243.54,-0.54968,2.7973e-05
1346.7,-99.713,-243,-0.54765,2.9686e-05
1353.3,-99.975,-242.46,-0.54562,3.1494e-05
1359.9,-100.23,-241.92,-0.5436,3.34e-05
1366.5,-100.49,-241.38,-0.54159,3.5407e-05
1373.1,-100.75,-240.84,-0.53959,3.7518e-05
1379.7,-101,-240.31,-0.5376,3.9735e-05
1386.3,-101.25,-239.77,-0.53562,4.7286e-05
1392.9,-101.5,-239.24,-0.53364,4.9932e-05
1399.5,-101.74,-238.71,-0.53168,5.2703e-05
1406.1,-101.99,-238.19,-0.52972,5.5604e-05
1412.7,-102.23,-237.66,-0.52777,5.8636e-05
1419.3,-102.47,-237.14,-0.52582,6.1803e-05
1425.9,-102.71,-236.61,-0.52389,6.5107e-05
1432.5,-102.94,-236.09,-0.52196,6.855e-05
1439.1,-103.18,-235.57,-0.52004,7.2135e-05
1445.7,-103.41,-235.06,-0.51813,7.5865e-05
1452.3,-103.63,-234.54,-0.51623,7.9741e-05
1458.9,-103.86,-234.03,-0.51434,8.3767e-05
1465.5,-104.09,-233.51,-0.51245,8.7943e-05
1472.2,-104.31,-233,-0.51057,9.2274e-05
1478.8,-104.53,-232.5,-0.5087,9.676e-05
1485.4,-104.75,-231.99,-0.50684,0.0001014
1492,-104.96,-231.48,-0.50499,0.0001062
1498.6,-105.18,-230.98,-0.50314,0.00011117
1505.2,-105.39,-230.48,-0.5013,0.00012823
1511.8,-105.6,-229.97,-0.49947,0.00013395
1518.4,-105.8,-229.47,-0.49765,0.00013985
1525,-106.01,-228.98,-0.49584,0.00014592
1531.6,-106.21,-228.48,-0.49403,0.00015217
1538.2,-106.41,-227.99,-0.49223,0.0001586
1544.8,-106.61,-227.49,-0.49044,0.00016521
1551.4,-106.81,-227,-0.48866,0.000172
1558,-107,-226.51,-0.48688,0.00017896
1564.6,-107.19,-226.03,-0.48512,0.00018611
1571.2,-107.39,-225.54,-0.48336,0.00019343
1577.8,-107.57,-225.05,-0.4816,0.00020094
1584.4,-107.76,-224.57,-0.47986,0.00020862
1591,-107.94,-224.09,-0.47812,0.00021648
1597.6,-108.13,-223.61,-0.47639,0.00022452
1604.2,-108.31,-223.13,-0.47467,0.00023273
1610.8,-108.48,-222.65,-0.47296,0.00024112
1617.4,-108.66,-222.18,-0.47125,0.00024968
1624,-108.84,-221.71,-0.46955,0.0002817
1630.6,-109.01,-221.23,-0.46786,0.00029123
1637.2,-109.18,-220.76,-0.46618,0.00030093
1643.8,-109.35,-220.29,-0.4645,0.0003108
1650.4,-109.51,-219.83,-0.46283,0.00032085
1657,-109.68,-219.36,-0.46117,0.00033106
1663.6,-109.84,-218.9,-0.45952,0.00034143
1670.2,-110,-218.43,-0.45787,0.00035197
1676.8,-110.16,-217.97,-0.45623,0.00036266
1683.4,-110.31,-217.51,-0.4546,0.00037351
1690,-110.47,-217.05,-0.45298,0.00038451
1696.6,-110.62,-216.6,-0.45136,0.00039566
1703.2,-110.77,-216.14,-0.44975,0.00040695
1709.8,-110.92,-215.69,-0.44815,0.00041839
1716.4,-111.06,-215.23,-0.44656,0.00042996
1723,-111.21,-214.78,-0.44497,0.00044167
1729.6,-111.35,-214.33,-0.44339,0.0004535
1736.2,-111.49,-213.89,-0.44182,0.00046547
1742.8,-111.63,-213.44,-0.44025,0.0005156
1749.4,-111.76,-213,-0.43869,0.00052848
1756,-111.9,-212.55,-0.43714,0.00054147
1762.6,-112.03,-212.11,-0.4356,0.00055457
1769.2,-112.16,-211.67,-0.43406,0.00056776
1775.8,-112.29,-211.23,-0.43253,0.00058105
1782.4,-112.42,-210.79,-0.43101,0.00059444
1789,-112.54,-210.36,-0.42949,0.0006079
1795.6,-112.66,-209.92,-0.42798,0.00062145
1802.2,-112.79,-209.49,-0.42648,0.00063508
1808.8,-112.91,-209.06,-0.42498,0.00064878
1815.4,-113.02,-208.63,-0.4235,0.00066254
1822,-113.14,-208.2,-0.42202,0.00067637
1828.6,-113.25,-207.77,-0.42054,0.00069025
1835.2,-113.36,-207.34,-0.41908,0.00070419
1841.8,-113.47,-206.92,-0.41762,0.00071818
1848.4,-113.58,-206.5,-0.41616,0.00073221
1855,-113.69,-206.08,-0.41472,0.00074627
1861.6,-113.79,-205.66,-0.41328,0.00081377
1868.2,-113.89,-205.24,-0.41184,0.00082847
1874.8,-114,-204.82,-0.41042,0.00084318
1881.4,-114.09,-204.4,-0.409,0.00085791
1888.1,-114.19,-203.99,-0.40759,0.00087264
1894.7,-114.29,-203.57,-0.40618,0.00088737
1901.3,-114.38,-203.16,-0.40478,0.00090209
1907.9,-114.47,-202.75,-0.40339,0.00091681
1914.5,-114.56,-202.34,-0.40201,0.00093152
1921.1,-114.65,-201.94,-0.40063,0.00094621
1927.7,-114.74,-201.53,-0.39926,0.00096089
1934.3,-114.82,-201.12,-0.39789,0.00097554
1940.9,-114.9,-200.72,-0.39653,0.00099017
1947.5,-114.98,-200.32,-0.39518,0.0010048
1954.1,-115.06,-199.92,-0.39384,0.0010193
1960.7,-115.14,-199.52,-0.3925,0.0010339
1967.3,-115.22,-199.12,-0.39116,0.0010483
1973.9,-115.29,-198.72,-0.38984,0.0010628
1980.5,-115.36,-198.33,-0.38852,0.0011435
1987.1,-115.43,-197.93,-0.38721,0.0011582
1993.7,-115.5,-197.54,-0.3859,0.0011728
2000.3,-115.57,-197.15,-0.3846,0.0011874
2006.9,-115.63,-196.76,-0.38331,0.0012019
2013.5,-115.7,-196.37,-0.38202,0.0012163
2020.1,-115.76,-195.98,-0.38074,0.0012306
2026.7,-115.82,-195.59,-0.37946,0.0012449
2033.3,-115.88,-195.21,-0.3782,0.0012591
2039.9,-115.93,-194.82,-0.37693,0.0012732
2046.5,-115.99,-194.44,-0.37568,0.0012872
2053.1,-116.04,-194.06,-0.37443,0.0013012
2059.7,-116.09,-193.68,-0.37319,0.0013151
2066.3,-116.14,-193.3,-0.37195,0.0013289
2072.9,-116.19,-192.92,-0.37072,0.0013426
2079.5,-116.24,-192.55,-0.36949,0.0013562
2086.1,-116.28,-192.17,-0.36828,0.0013698
2092.7,-116.33,-191.8,-0.36707,0.0013832
2099.3,-116.37,-191.43,-0.36586,0.0013966
2105.9,-116.41,-191.06,-0.36466,0.0014849
2112.5,-116.45,-190.69,-0.36347,0.0014982
2119.1,-116.48,-190.32,-0.36228,0.0015113
2125.7,-116.52,-189.95,-0.3611,0.0015244
2132.3,-116.55,-189.58,-0.35992,0.0015374
2138.9,-116.58,-189.22,-0.35875,0.0015503
2145.5,-116.61,-188.86,-0.35759,0.0015631
2152.1,-116.64,-188.49,-0.35643,0.0015758
2158.7,-116.67,-188.13,-0.35528,0.0015884
2165.3,-116.69,-187.77,-0.35413,0.0016009
2171.9,-116.72,-187.41,-0.353,0.0016133
2178.5,-116.74,-187.05,-0.35186,0.0016257
2185.1,-116.76,-186.7,-0.35073,0.0016379
2191.7,-116.78,-186.34,-0.34961,0.0016501
2198.3,-116.8,-185.99,-0.3485,0.0016622
2204.9,-116.81,-185.64,-0.34739,0.0016742
2211.5,-116.83,-185.28,-0.34628,0.0016861
2218.1,-116.84,-184.93,-0.34518,0.0016979
2224.7,-116.85,-184.58,-0.34409,0.0017886
2231.3,-116.86,-184.24,-0.343,0.0018001
2237.9,-116.87,-183.89,-0.34192,0.0018116
2244.5,-116.87,-183.54,-0.34084,0.0018229
2251.1,-116.88,-183.2,-0.33977,0.0018342
2257.7,-116.88,-182.86,-0.33871,0.0018454
2264.3,-116.89,-182.51,-0.33765,0.0018566
2270.9,-116.89,-182.17,-0.3366,0.0018677
2277.5,-116.88,-181.83,-0.33555,0.0018787
2284.1,-116.88,-181.49,-0.33451,0.0018896
2290.7,-116.88,-181.16,-0.33347,0.0019005
2297.3,-116.87,-180.82,-0.33244,0.0019113
2303.9,-116.87,-180.48,-0.33142,0.001922
2310.6,-116.86,-180.15,-0.3304,0.0019327
2317.2,-116.85,-179.82,-0.32938,0.0019434
2323.8,-116.84,-179.48,-0.32837,0.001954
2330.4,-116.82,-179.15,-0.32737,0.0019645
2337,-116.81,-178.82,-0.32637,0.001975
2343.6,-116.79,-178.49,-0.32538,0.0020651
2350.2,-116.78,-178.17,-0.32439,0.0020752
2356.8,-116.76,-177.84,-0.32341,0.0020853
2363.4,-116.74,-177.51,-0.32243,0.0020953
2370,-116.71,-177.19,-0.32146,0.0021054
2376.6,-116.69,-176.87,-0.3205,0.0021153
2383.2,-116.67,-176.54,-0.31954,0.0021253
2389.8,-116.64,-176.22,-0.31858,0.0021352
2396.4,-116.61,-175.9,-0.31763,0.002145
2403,-116.58,-175.58,-0.31668,0.0021549
2409.6,-116.55,-175.26,-0.31575,0.0021647
2416.2,-116.52,-174.95,-0.31481,0.0021745
2422.8,-116.49,-174.63,-0.31388,0.0021843
2429.4,-116.46,-174.32,-0.31296,0.002194
2436,-116.42,-174,-0.31204,0.0022038
2442.6,-116.38,-173.69,-0.31112,0.0022135
2449.2,-116.34,-173.38,-0.31021,0.0022232
2455.8,-116.3,-173.07,-0.30931,0.0022329
2462.4,-116.26,-172.76,-0.30841,0.0023213
2469,-116.22,-172.45,-0.30752,0.0023307
2475.6,-116.18,-172.14,-0.30663,0.00234
2482.2,-116.13,-171.83,-0.30575,0.0023494
2488.8,-116.09,-171.53,-0.30487,0.0023587
2495.4,-116.04,-171.22,-0.30399,0.0023681
2502,-115.99,-170.92,-0.30312,0.0023774
2508.6,-115.94,-170.62,-0.30226,0.0023868
2515.2,-115.89,-170.31,-0.3014,0.0023961
2521.8,-115.83,-170.01,-0.30055,0.0024054
2528.4,-115.78,-169.71,-0.2997,0.0024148
2535,-115.72,-169.41,-0.29885,0.0024241
2541.6,-115.67,-169.12,-0.29801,0.0024335
2548.2,-115.61,-168.82,-0.29718,0.0024428
2554.8,-115.55,-168.52,-0.29635,0.0024522
2561.4,-115.49,-168.23,-0.29552,0.0024616
2568,-115.42,-167.93,-0.2947,0.0024709
2574.6,-115.36,-167.64,-0.29388,0.0024803
2581.2,-115.3,-167.35,-0.29307,0.0025647
2587.8,-115.23,-167.06,-0.29227,0.0025738
2594.4,-115.16,-166.77,-0.29146,0.0025828
2601,-115.09,-166.48,-0.29067,0.0025918
2607.6,-115.02,-166.19,-0.28987,0.0026009
2614.2,-114.95,-165.9,-0.28909,0.0026099
2620.8,-114.88,-165.62,-0.2883,0.002619
2627.4,-114.81,-165.33,-0.28752,0.002628
2634,-114.73,-165.05,-0.28675,0.0026371
2640.6,-114.66,-164.76,-0.28598,0.0026461
2647.2,-114.58,-164.48,-0.28521,0.0026552
2653.8,-114.5,-164.2,-0.28445,0.0026643
2660.4,-114.42,-163.92,-0.28369,0.0026733
2667,-114.34,-163.64,-0.28294,0.0026824
2673.6,-114.26,-163.36,-0.28219,0.0026915
2680.2,-114.17,-163.08,-0.28145,0.0027006
2686.8,-114.09,-162.8,-0.28071,0.0027096
2693.4,-114,-162.52,-0.27998,0.0027187
2700,-113.92,-162.25,-0.27924,0.0028042
2706.6,-113.83,-161.97,-0.27852,0.002813
2713.2,-113.74,-161.7,-0.2778,0.0028218
2719.8,-113.65,-161.43,-0.27708,0.0028306
2726.5,-113.56,-161.15,-0.27637,0.0028394
2733.1,-113.47,-160.88,-0.27566,0.0028482
2739.7,-113.37,-160.61,-0.27495,0.002857
2746.3,-113.28,-160.34,-0.27425,0.0028657
2752.9,-113.18,-160.07,-0.27355,0.0028745
2759.5,-113.09,-159.8,-0.27286,0.0028832
2766.1,-112.99,-159.54,-0.27217,0.0028919
2772.7,-112.89,-159.27,-0.27149,0.0029006
2779.3,-112.79,-159,-0.27081,0.0029093
2785.9,-112.69,-158.74,-0.27013,0.0029179
2792.5,-112.58,-158.47,-0.26946,0.0029265
2799.1,-112.48,-158.21,-0.26879,0.0029351
2805.7,-112.38,-157.95,-0.26813,0.0029436
2812.3,-112.27,-157.69,-0.26747,0.0029521
2818.9,-112.16,-157.43,-0.26681,0.0029606
2825.5,-112.05,-157.17,-0.26616,0.0030448
2832.1,-111.95,-156.91,-0.26551,0.003053
2838.7,-111.84,-156.65,-0.26487,0.0030612
2845.3,-111.72,-156.39,-0.26423,0.0030693
2851.9,-111.61,-156.13,-0.26359,0.0030774
2858.5,-111.5,-155.88,-0.26296,0.0030854
2865.1,-111.38,-155.62,-0.26233,0.0030933
2871.7,-111.27,-155.37,-0.2617,0.0031012
2878.3,-111.15,-155.11,-0.26108,0.0031091
2884.9,-111.04,-154.86,-0.26047,0.0031169
2891.5,-110.92,-154.61,-0.25985,0.0031246
2898.1,-110.8,-154.35,-0.25924,0.0031322
2904.7,-110.68,-154.1,-0.25864,0.0031398
2911.3,-110.56,-153.85,-0.25803,0.0031473
2917.9,-110.43,-153.6,-0.25743,0.0031547
2924.5,-110.31,-153.36,-0.25684,0.0031621
2931.1,-110.19,-153.11,-0.25625,0.0031694
2937.7,-110.06,-152.86,-0.25566,0.0031766
2944.3,-109.93,-152.61,-0.25507,0.0032191
2950.9,-109.81,-152.37,-0.25449,0.0032261
2957.5,-109.68,-152.12,-0.25392,0.003233
2964.1,-109.55,-151.88,-0.25334,0.0032399
2970.7,-109.42,-151.63,-0.25277,0.0032466
2977.3,-109.29,-151.39,-0.2522,0.0032532
2983.9,-109.16,-151.15,-0.25164,0.0032598
2990.5,-109.02,-150.91,-0.25108,0.0032662
2997.1,-108.89,-150.66,-0.25052,0.0032725
3003.7,-108.75,-150.42,-0.24997,0.0032788
3010.3,-108.62,-150.18,-0.24942,0.0032849
3016.9,-108.48,-149.95,-0.24888,0.0032909
3023.5,-108.34,-149.71,-0.24833,0.0032968
3030.1,-108.2,-149.47,-0.24779,0.0033026
3036.7,-108.06,-149.23,-0.24726,0.0033083
3043.3,-107.92,-149,-0.24672,0.0033138
3049.9,-107.78,-148.76,-0.24619,0.0033192
3056.5,-107.64,-148.52,-0.24567,0.0033245
3063.1,-107.5,-148.29,-0.24514,0.0034043
3069.7,-107.35,-148.06,-0.24462,0.0034092
3076.3,-107.21,-147.82,-0.24411,0.003414
3082.9,-107.06,-147.59,-0.24359,0.0034186
3089.5,-106.92,-147.36,-0.24308,0.0034231
3096.1,-106.77,-147.13,-0.24258,0.0034274
3102.7,-106.62,-146.9,-0.24207,0.0034316
3109.3,-106.47,-146.66,-0.24157,0.0034357
3115.9,-106.32,-146.44,-0.24107,0.0034396
3122.5,-106.17,-146.21,-0.24058,0.0034434
3129.1,-106.02,-145.98,-0.24008,0.003447
3135.7,-105.87,-145.75,-0.2396,0.0034505
3142.3,-105.71,-145.52,-0.23911,0.0034538
3149,-105.56,-145.3,-0.23863,0.0034569
3155.6,-105.41,-145.07,-0.23815,0.0034599
3162.2,-105.25,-144.84,-0.23767,0.0034627
3168.8,-105.09,-144.62,-0.23719,0.0034654
3175.4,-104.94,-144.39,-0.23672,0.0034679
3182,-104.78,-144.17,-0.23625,0.0035447
3188.6,-104.62,-143.95,-0.23579,0.0035467
3195.2,-104.46,-143.72,-0.23533,0.0035485
3201.8,-104.3,-143.5,-0.23487,0.0035502
3208.4,-104.14,-143.28,-0.23441,0.0035518
3215,-103.98,-143.06,-0.23395,0.0035531
3221.6,-103.81,-142.84,-0.2335,0.0035543
3228.2,-103.65,-142.62,-0.23305,0.0035553
3234.8,-103.49,-142.4,-0.23261,0.0035562
3241.4,-103.32,-142.18,-0.23216,0.0035568
3248,-103.16,-141.96,-0.23172,0.0035573
3254.6,-102.99,-141.74,-0.23128,0.0035576
3261.2,-102.82,-141.53,-0.23085,0.0035578
3267.8,-102.65,-141.31,-0.23042,0.0035577
3274.4,-102.49,-141.09,-0.22999,0.0035575
3281,-102.32,-140.88,-0.22956,0.0035571
3287.6,-102.15,-140.66,-0.22913,0.0035566
3294.2,-101.98,-140.45,-0.22871,0.0035558
3300.8,-101.81,-140.23,-0.22829,0.0036284
3307.4,-101.63,-140.02,-0.22787,0.0036272
3314,-101.46,-139.8,-0.22746,0.0036257
3320.6,-101.29,-139.59,-0.22704,0.0036241
3327.2,-101.11,-139.38,-0.22663,0.0036223
3333.8,-100.94,-139.17,-0.22623,0.0036203
3340.4,-100.76,-138.95,-0.22582,0.0036181
3347,-100.59,-138.74,-0.22542,0.0036158
3353.6,-100.41,-138.53,-0.22502,0.0036133
3360.2,-100.23,-138.32,-0.22462,0.0036106
3366.8,-100.06,-138.11,-0.22422,0.0036077
3373.4,-99.877,-137.9,-0.22383,0.0036047
3380,-99.698,-137.69,-0.22344,0.0036015
3386.6,-99.518,-137.48,-0.22305,0.0035981
3393.2,-99.338,-137.28,-0.22266,0.0035946
3399.8,-99.157,-137.07,-0.22227,0.0035908
3406.4,-98.975,-136.86,-0.22189,0.0035869
