time (s), x (m), y (m), z (m), rho
0,300,-750,-1,2.6915e-116
6.6016,299.98,-749.79,-1.0016,3.1614e-116
13.203,299.93,-749.16,-1.0062,5.0835e-116
19.805,299.85,-748.14,-1.0136,1.1057e-115
26.406,299.73,-746.73,-1.0239,3.212e-115
33.008,299.57,-744.96,-1.0367,1.2301e-114
39.609,299.38,-742.84,-1.0519,6.1287e-114
46.211,299.14,-740.39,-1.0695,3.9183e-113
52.813,298.87,-737.62,-1.0893,3.1709e-112
59.414,298.56,-734.55,-1.111,3.2035e-111
66.016,298.2,-731.2,-1.1347,5.2253e-110
72.617,297.81,-727.57,-1.16,7.7795e-109
79.219,297.37,-723.7,-1.187,1.3813e-107
85.82,296.88,-719.59,-1.2154,2.885e-106
92.422,296.35,-715.27,-1.2451,6.9927e-105
99.024,295.78,-710.74,-1.2759,1.941e-103
105.63,295.16,-706.02,-1.3078,6.089e-102
112.23,294.48,-701.13,-1.3405,2.1308e-100
118.83,293.77,-696.09,-1.3739,8.2082e-99
125.43,293,-690.91,-1.4079,3.4345e-97
132.03,292.18,-685.61,-1.4424,1.5398e-95
138.63,291.3,-680.21,-1.4771,7.2968e-94
145.23,290.38,-674.72,-1.512,3.6048e-92
151.84,289.4,-669.15,-1.5468,1.8317e-90
158.44,288.36,-663.53,-1.5815,9.4485e-89
165.04,287.27,-657.86,-1.616,4.8862e-87
171.64,286.13,-652.18,-1.65,2.5034e-85
178.24,284.92,-646.48,-1.6834,1.2567e-83
184.84,283.66,-640.79,-1.716,6.5928e-82
191.45,282.34,-635.13,-1.7479,3.1288e-80
198.05,280.96,-629.51,-1.7786,1.4183e-78
204.65,279.51,-623.95,-1.8083,6.0874e-77
211.25,278.01,-618.46,-1.8366,2.4542e-75
217.85,276.44,-613.06,-1.8635,9.2269e-74
224.45,274.8,-607.76,-1.8888,3.2141e-72
231.06,273.1,-602.59,-1.9124,1.0313e-70
237.66,271.34,-597.56,-1.934,3.0318e-69
244.26,269.5,-592.68,-1.9537,8.1283e-68
250.86,267.6,-587.97,-1.9712,1.9788e-66
257.46,265.63,-583.45,-1.9863,4.357e-65
264.06,263.59,-579.14,-1.999,8.6459e-64
270.66,261.48,-575.04,-2.0091,1.5409e-62
277.27,259.3,-571.18,-2.0165,2.4587e-61
283.87,257.04,-567.57,-2.021,3.5011e-60
290.47,254.71,-564.23,-2.0224,4.4351e-59
297.07,252.31,-561.16,-2.0208,5.0243e-58
303.67,249.84,-558.13,-2.0182,6.6043e-57
310.27,247.3,-555.08,-2.015,7.3877e-56
316.88,244.71,-552.02,-2.0114,8.3168e-55
323.48,242.06,-548.95,-2.0073,9.4052e-54
330.08,239.36,-545.86,-2.0027,1.0665e-52
336.68,236.59,-542.75,-1.9977,1.2105e-51
343.28,233.78,-539.63,-1.9922,1.3728e-50
349.88,230.91,-536.5,-1.9863,1.5529e-49
356.49,227.99,-533.36,-1.98,1.7491e-48
363.09,225.02,-530.21,-1.9732,1.9585e-47
369.69,222,-527.04,-1.966,2.1765e-46
376.29,218.93,-523.87,-1.9585,2.3966e-45
382.89,215.82,-520.69,-1.9505,2.6108e-44
389.49,212.66,-517.5,-1.9421,2.8095e-43
396.09,209.46,-514.3,-1.9334,2.982e-42
402.7,206.22,-511.09,-1.9243,3.1173e-41
409.3,202.93,-507.88,-1.9148,3.2052e-40
415.9,199.61,-504.66,-1.9049,3.2369e-39
422.5,196.25,-501.44,-1.8948,3.3856e-38
429.1,192.86,-498.21,-1.8843,3.298e-37
435.7,189.43,-494.97,-1.8734,3.1466e-36
442.31,185.97,-491.74,-1.8623,2.9371e-35
448.91,182.47,-488.5,-1.8508,2.6794e-34
455.51,178.95,-485.26,-1.839,2.3863e-33
462.11,175.39,-482.02,-1.827,2.0728e-32
468.71,171.81,-478.78,-1.8146,1.7542e-31
475.31,168.21,-475.53,-1.802,1.445e-30
481.92,164.57,-472.29,-1.7891,1.1576e-29
488.52,160.92,-469.05,-1.776,9.0101e-29
495.12,157.24,-465.82,-1.7626,6.8073e-28
501.72,153.54,-462.58,-1.749,4.988e-27
508.32,149.83,-459.35,-1.7351,3.5417e-26
514.92,146.09,-456.12,-1.7211,2.4347e-25
521.52,142.34,-452.9,-1.7068,1.6192e-24
528.13,138.58,-449.68,-1.6923,1.0409e-23
534.73,134.8,-446.47,-1.6776,6.4627e-23
541.33,131.01,-443.27,-1.6627,4.9188e-22
547.93,127.21,-440.07,-1.6477,2.8299e-21
554.53,123.39,-436.88,-1.6325,1.5675e-20
561.13,119.58,-433.7,-1.6171,8.3538e-20
567.74,115.75,-430.53,-1.6015,4.2815e-19
574.34,111.92,-427.37,-1.5859,2.1093e-18
580.94,108.09,-424.22,-1.57,9.985e-18
587.54,104.25,-421.08,-1.5541,4.54e-17
594.14,100.42,-417.95,-1.5381,1.9821e-16
600.74,96.581,-414.84,-1.5219,8.3074e-16
607.34,92.747,-411.74,-1.5056,3.3419e-15
613.95,88.917,-408.65,-1.4893,1.2901e-14
620.55,85.092,-405.58,-1.4728,4.7793e-14
627.15,81.273,-402.52,-1.4563,1.6989e-13
633.75,77.462,-399.48,-1.4398,5.7952e-13
640.35,73.66,-396.45,-1.4231,1.897e-12
646.95,69.868,-393.45,-1.4065,5.9596e-12
653.56,66.089,-390.46,-1.3898,1.7972e-11
660.16,62.322,-387.49,-1.373,5.1584e-11
666.76,58.571,-384.54,-1.3563,1.4238e-10
673.36,54.836,-381.61,-1.3395,3.7765e-10
679.96,51.118,-378.7,-1.3227,9.6278e-10
686.56,47.419,-375.81,-1.3059,2.36e-09
693.17,43.741,-372.94,-1.2892,5.5639e-09
699.77,40.084,-370.1,-1.2724,1.2621e-08
706.37,36.451,-367.28,-1.2557,2.7557e-08
712.97,32.842,-364.48,-1.2391,5.7939e-08
719.57,29.26,-361.71,-1.2225,1.1736e-07
