,id,source,timestamp,Time,Lat,Lon,Depth,DOX,Bt,Bij,Bl
0,ALG,SimSenO,2008-08-23 00:00:05,0,47.505,-122.215,0.0,2.0,0,9,54
1,ALG,SimSenO,2008-08-23 00:30:05,1800,47.50502083333333,-122.21501388888888,0.0,2.493928909301758,1,9,54
2,ALG,SimSenO,2008-08-23 01:00:05,3600,47.50504166666667,-122.21502777777778,0.0,2.8501620292663574,2,9,54
3,ALG,SimSenO,2008-08-23 01:30:05,5400,47.5050625,-122.21504166666666,0.0,3.379096269607544,3,9,54
4,ALG,SimSenO,2008-08-23 02:00:05,7200,47.50508333333334,-122.21505555555557,0.0,2.3676087856292725,4,9,54
5,ALG,SimSenO,2008-08-23 02:30:05,9000,47.50510416666667,-122.21506944444444,0.0,2.449331760406494,5,9,54
6,ALG,SimSenO,2008-08-23 03:00:05,10800,47.505125,-122.21508333333334,0.0,2.541597843170166,6,9,54
7,ALG,SimSenO,2008-08-23 03:30:05,12600,47.50514583333334,-122.21509722222224,0.0,2.6642699241638184,7,9,54
8,ALG,SimSenO,2008-08-23 04:00:05,14400,47.50516666666667,-122.21511111111111,0.0,2.7557153701782227,8,9,54
9,ALG,SimSenO,2008-08-23 04:30:05,16200,47.505187500000005,-122.215125,0.0,2.8780171871185303,9,9,54
10,ALG,SimSenO,2008-08-23 05:00:05,18000,47.505208333333336,-122.21513888888887,0.0,2.9693939685821533,10,9,54
11,ALG,SimSenO,2008-08-23 05:30:05,19800,47.505229166666666,-122.21515277777776,0.0,3.097273111343384,11,9,54
12,ALG,SimSenO,2008-08-23 06:00:05,21600,47.50525,-122.21516666666668,0.0,3.2120361328125,12,9,54
13,ALG,SimSenO,2008-08-23 06:30:05,23400,47.50527083333333,-122.21518055555556,0.0,3.357778549194336,13,9,54
14,ALG,SimSenO,2008-08-23 07:00:05,25200,47.50529166666667,-122.21519444444444,0.0,3.5091898441314697,14,9,54
