,id,source,timestamp,Time,Lat,Lon,Depth,W,Bt,Bij,Bl
0,W,SimSenV,2008-08-23 00:00:04,0,47.505,-122.215,0.0,0.0,0,9,54
1,W,SimSenV,2008-08-23 00:30:04,1800,47.50502083333333,-122.21501388888888,0.0,0.017800746485590935,1,9,54
2,W,SimSenV,2008-08-23 01:00:04,3600,47.50504166666667,-122.21502777777778,0.0,0.028079569339752197,2,9,54
3,W,SimSenV,2008-08-23 01:30:04,5400,47.5050625,-122.21504166666666,0.0,0.03301594778895378,3,9,54
4,W,SimSenV,2008-08-23 02:00:04,7200,47.50508333333334,-122.21505555555557,0.0,0.0006581689231097698,4,9,54
5,W,SimSenV,2008-08-23 02:30:04,9000,47.50510416666667,-122.21506944444444,0.0,0.0005292681744322181,5,9,54
6,W,SimSenV,2008-08-23 03:00:04,10800,47.505125,-122.21508333333334,0.0,0.000426539103500545,6,9,54
7,W,SimSenV,2008-08-23 03:30:04,12600,47.50514583333334,-122.21509722222224,0.0,0.0004465644306037575,7,9,54
8,W,SimSenV,2008-08-23 04:00:04,14400,47.50516666666667,-122.21511111111111,0.0,0.0005182523746043444,8,9,54
9,W,SimSenV,2008-08-23 04:30:04,16200,47.505187500000005,-122.215125,0.0,0.0005140129360370338,9,9,54
10,W,SimSenV,2008-08-23 05:00:04,18000,47.505208333333336,-122.21513888888887,0.0,0.0004975675255991518,10,9,54
11,W,SimSenV,2008-08-23 05:30:04,19800,47.505229166666666,-122.21515277777776,0.0,0.00046070851385593414,11,9,54
12,W,SimSenV,2008-08-23 06:00:04,21600,47.50525,-122.21516666666668,0.0,0.00044465725659392774,12,9,54
13,W,SimSenV,2008-08-23 06:30:04,23400,47.50527083333333,-122.21518055555556,0.0,0.00036356941564008594,13,9,54
14,W,SimSenV,2008-08-23 07:00:04,25200,47.50529166666667,-122.21519444444444,0.0,0.00012110124225728214,14,9,54
15,W,SimSenV,2008-08-23 07:30:04,27000,47.5053125,-122.21520833333334,0.0,-0.0001380319008603692,15,9,54
16,W,SimSenV,2008-08-23 08:00:04,28800,47.50533333333333,-122.21522222222222,0.0,-0.0002598823048174381,16,9,54
17,W,SimSenV,2008-08-23 08:30:04,30600,47.50535416666667,-122.21523611111112,0.0,-0.00030205072835087776,17,9,54
18,W,SimSenV,2008-08-23 09:00:04,32400,47.505375,-122.21525,0.0,-0.0001637099776417017,18,9,54
19,W,SimSenV,2008-08-23 09:30:04,34200,47.50539583333334,-122.2152638888889,0.0,0.0002768198028206825,19,9,54
20,W,SimSenV,2008-08-23 10:00:04,36000,47.50541666666667,-122.2152777777778,0.0,0.0009030962828546762,20,9,54
21,W,SimSenV,2008-08-23 10:30:04,37800,47.5054375,-122.21529166666669,0.0,0.001565315993502736,21,9,54
22,W,SimSenV,2008-08-23 11:00:04,39600,47.50545833333334,-122.21530555555556,0.0,0.002559983404353261,22,9,54
23,W,SimSenV,2008-08-23 11:30:04,41400,47.50547916666667,-122.21531944444445,0.0,0.003523480612784624,23,9,54
24,W,SimSenV,2008-08-23 12:00:04,43200,47.505500000000005,-122.21533333333332,0.0,0.0036434424109756947,24,9,54
25,W,SimSenV,2008-08-23 12:30:04,45000,47.505520833333335,-122.21534722222222,0.0,0.003310220781713724,25,9,54
26,W,SimSenV,2008-08-23 13:00:04,46800,47.505541666666666,-122.21536111111112,0.0,0.0034004892222583294,26,9,54
27,W,SimSenV,2008-08-23 13:30:04,48600,47.5055625,-122.215375,0.0,0.0035973123740404844,27,9,54
28,W,SimSenV,2008-08-23 14:00:04,50400,47.50558333333333,-122.2153888888889,0.0,0.0037991097196936607,28,9,54
29,W,SimSenV,2008-08-23 14:30:04,52200,47.50560416666667,-122.21540277777778,0.0,0.004027852788567543,29,9,54
30,W,SimSenV,2008-08-23 15:00:04,54000,47.505625,-122.21541666666668,0.0,0.004547471646219492,30,9,54
31,W,SimSenV,2008-08-23 15:30:04,55800,47.50564583333333,-122.21543055555556,0.0,0.0050842901691794395,31,9,54
