,id,source,datetime,payload,Lat,Lon,Depth,DetB,DetBb
26,position&bloom,EdgeFussion,2021-08-01 00:26:00,"{'Lat': 5.2, 'Lon': 20.336832153790002, 'Depth': -15.877852522924726, 'DetB': 0, 'DetBb': 0}",5.2,20.336832153790002,-15.877852522924726,0,0
27,position&bloom,EdgeFussion,2021-08-01 00:27:00,"{'Lat': 5.4, 'Lon': 15.450849718747376, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",5.4,15.450849718747376,-19.510565162951536,0,0
28,position&bloom,EdgeFussion,2021-08-01 00:28:00,"{'Lat': 5.6000000000000005, 'Lon': 10.395584540887965, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",5.6000000000000005,10.395584540887965,-19.510565162951536,0,0
29,position&bloom,EdgeFussion,2021-08-01 00:29:00,"{'Lat': 5.800000000000001, 'Lon': 5.226423163382664, 'Depth': -15.877852522924737, 'DetB': 0, 'DetBb': 0}",5.800000000000001,5.226423163382664,-15.877852522924737,0,0
30,position&bloom,EdgeFussion,2021-08-01 00:30:00,"{'Lat': 6.0, 'Lon': 2.8327694488239898e-14, 'Depth': -10.000000000000007, 'DetB': 0, 'DetBb': 0}",6.0,2.8327694488239898e-14,-10.000000000000007,0,0
31,position&bloom,EdgeFussion,2021-08-01 00:31:00,"{'Lat': 6.2, 'Lon': -5.226423163382653, 'Depth': -4.122147477075275, 'DetB': 0, 'DetBb': 0}",6.2,-5.226423163382653,-4.122147477075275,0,0
32,position&bloom,EdgeFussion,2021-08-01 00:32:00,"{'Lat': 6.4, 'Lon': -10.395584540887953, 'Depth': -0.48943483704846713, 'DetB': 0, 'DetBb': 0}",6.4,-10.395584540887953,-0.48943483704846713,0,0
33,position&bloom,EdgeFussion,2021-08-01 00:33:00,"{'Lat': 6.6000000000000005, 'Lon': -15.450849718747364, 'Depth': -0.4894348370484618, 'DetB': 0, 'DetBb': 0}",6.6000000000000005,-15.450849718747364,-0.4894348370484618,0,0
34,position&bloom,EdgeFussion,2021-08-01 00:34:00,"{'Lat': 6.800000000000001, 'Lon': -20.33683215379001, 'Depth': -4.122147477075262, 'DetB': 0, 'DetBb': 0}",6.800000000000001,-20.33683215379001,-4.122147477075262,0,0
35,position&bloom,EdgeFussion,2021-08-01 00:35:00,"{'Lat': 7.0, 'Lon': -24.999999999999986, 'Depth': -9.999999999999991, 'DetB': 0, 'DetBb': 0}",7.0,-24.999999999999986,-9.999999999999991,0,0
36,position&bloom,EdgeFussion,2021-08-01 00:36:00,"{'Lat': 7.2, 'Lon': -29.38926261462365, 'Depth': -15.877852522924725, 'DetB': 0, 'DetBb': 0}",7.2,-29.38926261462365,-15.877852522924725,0,0
37,position&bloom,EdgeFussion,2021-08-01 00:37:00,"{'Lat': 7.4, 'Lon': -33.456530317942914, 'Depth': -19.510565162951533, 'DetB': 0, 'DetBb': 0}",7.4,-33.456530317942914,-19.510565162951533,0,0
38,position&bloom,EdgeFussion,2021-08-01 00:38:00,"{'Lat': 7.6000000000000005, 'Lon': -37.1572412738697, 'Depth': -19.510565162951536, 'DetB': 0, 'DetBb': 0}",7.6000000000000005,-37.1572412738697,-19.510565162951536,0,0
39,position&bloom,EdgeFussion,2021-08-01 00:39:00,"{'Lat': 7.800000000000001, 'Lon': -40.450849718747364, 'Depth': -15.877852522924739, 'DetB': 0, 'DetBb': 0}",7.800000000000001,-40.450849718747364,-15.877852522924739,0,0
40,position&bloom,EdgeFussion,2021-08-01 00:40:00,"{'Lat': 8.0, 'Lon': -43.301270189221924, 'Depth': -10.00000000000001, 'DetB': 0, 'DetBb': 0}",8.0,-43.301270189221924,-10.00000000000001,0,0
41,position&bloom,EdgeFussion,2021-08-01 00:41:00,"{'Lat': 8.200000000000001, 'Lon': -45.677272882130026, 'Depth': -4.1221474770753055, 'DetB': 0, 'DetBb': 0}",8.200000000000001,-45.677272882130026,-4.1221474770753055,0,0
42,position&bloom,EdgeFussion,2021-08-01 00:42:00,"{'Lat': 8.4, 'Lon': -47.552825814757675, 'Depth': -0.48943483704846713, 'DetB': 0, 'DetBb': 0}",8.4,-47.552825814757675,-0.48943483704846713,0,0
43,position&bloom,EdgeFussion,2021-08-01 00:43:00,"{'Lat': 8.6, 'Lon': -48.90738003669028, 'Depth': -0.4894348370484618, 'DetB': 0, 'DetBb': 0}",8.6,-48.90738003669028,-0.4894348370484618,0,0
44,position&bloom,EdgeFussion,2021-08-01 00:44:00,"{'Lat': 8.8, 'Lon': -49.72609476841367, 'Depth': -4.122147477075231, 'DetB': 0, 'DetBb': 0}",8.8,-49.72609476841367,-4.122147477075231,0,0
45,position&bloom,EdgeFussion,2021-08-01 00:45:00,"{'Lat': 9.0, 'Lon': -50.0, 'Depth': -9.99999999999999, 'DetB': 0, 'DetBb': 0}",9.0,-50.0,-9.99999999999999,0,0
