,id,source,timestamp,Time,Lat,Lon,Depth,DOX,Bt,Bij,Bl
44,DOX,SimSenO,2008-08-23 22:00:05,79200,47.50591666666667,-122.21561111111112,0.0,19.55925941467285,44,9,54
45,DOX,SimSenO,2008-08-23 22:30:05,81000,47.5059375,-122.215625,0.0,19.888139724731445,45,9,54
46,DOX,SimSenO,2008-08-23 23:00:05,82800,47.50595833333334,-122.21563888888888,0.0,20.160720825195312,46,9,54
47,DOX,SimSenO,2008-08-23 23:30:05,84600,47.50597916666667,-122.21565277777778,0.0,20.09581756591797,47,9,54
48,DOX,SimSenO,2008-08-24 00:00:05,0,47.506,-122.21566666666666,0.0,7.0,0,9,54
49,DOX,SimSenO,2008-08-24 00:30:05,1800,47.50602083333334,-122.21568055555556,0.0,8.699989318847656,1,9,54
50,DOX,SimSenO,2008-08-24 01:00:05,3600,47.50604166666667,-122.21569444444444,0.0,9.969569206237793,2,9,54
51,DOX,SimSenO,2008-08-24 01:30:05,5400,47.506062500000006,-122.21570833333334,0.0,11.80138111114502,3,9,54
52,DOX,SimSenO,2008-08-24 02:00:05,7200,47.506083333333336,-122.21572222222224,0.0,8.354165077209473,4,9,54
53,DOX,SimSenO,2008-08-24 02:30:05,9000,47.50610416666667,-122.21573611111111,0.0,8.667867660522461,5,9,54
54,DOX,SimSenO,2008-08-24 03:00:05,10800,47.506125,-122.21575,0.0,9.019909858703613,6,9,54
55,DOX,SimSenO,2008-08-24 03:30:05,12600,47.506145833333335,-122.21576388888889,0.0,9.479520797729492,7,9,54
56,DOX,SimSenO,2008-08-24 04:00:05,14400,47.50616666666667,-122.21577777777776,0.0,9.830538749694824,8,9,54
57,DOX,SimSenO,2008-08-24 04:30:05,16200,47.5061875,-122.21579166666668,0.0,10.290238380432129,9,9,54
58,DOX,SimSenO,2008-08-24 05:00:05,18000,47.50620833333333,-122.21580555555556,0.0,10.641972541809082,10,9,54
59,DOX,SimSenO,2008-08-24 05:30:05,19800,47.50622916666667,-122.21581944444443,0.0,11.121333122253418,11,9,54
60,DOX,SimSenO,2008-08-24 06:00:05,21600,47.50625,-122.21583333333334,0.0,11.553910255432129,12,9,54
61,DOX,SimSenO,2008-08-24 06:30:05,23400,47.50627083333334,-122.21584722222222,0.0,12.094672203063965,13,9,54
62,DOX,SimSenO,2008-08-24 07:00:05,25200,47.50629166666667,-122.21586111111112,0.0,12.651421546936035,14,9,54
63,DOX,SimSenO,2008-08-24 07:30:05,27000,47.5063125,-122.215875,0.0,13.714770317077637,15,9,54
64,DOX,SimSenO,2008-08-24 08:00:05,28800,47.50633333333334,-122.2158888888889,0.0,14.606548309326172,16,9,54
65,DOX,SimSenO,2008-08-24 08:30:05,30600,47.50635416666667,-122.2159027777778,0.0,14.88698959350586,17,9,54
66,DOX,SimSenO,2008-08-24 09:00:05,32400,47.506375000000006,-122.21591666666669,0.0,15.202099800109863,18,9,54
67,DOX,SimSenO,2008-08-24 09:30:05,34200,47.506395833333336,-122.21593055555556,0.0,15.615204811096191,19,9,54
68,DOX,SimSenO,2008-08-24 10:00:05,36000,47.50641666666667,-122.21594444444445,0.0,16.11904525756836,20,9,54
69,DOX,SimSenO,2008-08-24 10:30:05,37800,47.5064375,-122.21595833333332,0.0,16.859434127807617,21,9,54
70,DOX,SimSenO,2008-08-24 11:00:05,39600,47.506458333333335,-122.21597222222222,0.0,17.793907165527344,22,9,54
71,DOX,SimSenO,2008-08-24 11:30:05,41400,47.50647916666667,-122.2159861111111,0.0,18.866090774536133,23,9,54
72,DOX,SimSenO,2008-08-24 12:00:05,43200,47.5065,-122.216,0.0,19.758453369140625,24,9,54
73,DOX,SimSenO,2008-08-24 12:30:05,45000,47.50652083333333,-122.2160138888889,0.0,20.418506622314453,25,9,54
74,DOX,SimSenO,2008-08-24 13:00:05,46800,47.50654166666667,-122.21602777777778,0.0,20.954771041870117,26,9,54
75,DOX,SimSenO,2008-08-24 13:30:05,48600,47.5065625,-122.21604166666668,0.0,21.4822940826416,27,9,54
76,DOX,SimSenO,2008-08-24 14:00:05,50400,47.50658333333334,-122.21605555555556,0.0,21.99556541442871,28,9,54
77,DOX,SimSenO,2008-08-24 14:30:05,52200,47.50660416666667,-122.21606944444444,0.0,22.50543212890625,29,9,54
78,DOX,SimSenO,2008-08-24 15:00:05,54000,47.506625,-122.21608333333332,0.0,22.939815521240234,30,9,54
79,DOX,SimSenO,2008-08-24 15:30:05,55800,47.50664583333334,-122.21609722222225,0.0,23.238027572631836,31,9,54
80,DOX,SimSenO,2008-08-24 16:00:05,57600,47.50666666666667,-122.21611111111112,0.0,23.277143478393555,32,9,54
81,DOX,SimSenO,2008-08-24 16:30:05,59400,47.506687500000005,-122.216125,0.0,23.02305793762207,33,9,54
82,DOX,SimSenO,2008-08-24 17:00:05,61200,47.506708333333336,-122.21613888888888,0.0,22.566814422607422,34,9,54
83,DOX,SimSenO,2008-08-24 17:30:05,63000,47.506729166666666,-122.21615277777778,0.0,22.07183265686035,35,9,54
84,DOX,SimSenO,2008-08-24 18:00:05,64800,47.50675,-122.21616666666668,0.0,21.61013412475586,36,9,54
85,DOX,SimSenO,2008-08-24 18:30:05,66600,47.50677083333333,-122.21618055555555,0.0,21.187358856201172,37,9,54
86,DOX,SimSenO,2008-08-24 19:00:05,68400,47.50679166666667,-122.21619444444444,0.0,20.53596305847168,38,9,54
87,DOX,SimSenO,2008-08-24 19:30:05,70200,47.5068125,-122.21620833333334,0.0,19.66481590270996,39,9,54
88,DOX,SimSenO,2008-08-24 20:00:05,72000,47.50683333333333,-122.21622222222224,0.0,18.958765029907227,40,9,54
89,DOX,SimSenO,2008-08-24 20:30:05,73800,47.50685416666667,-122.21623611111112,0.0,18.6616268157959,41,9,54
90,DOX,SimSenO,2008-08-24 21:00:05,75600,47.506875,-122.21625,0.0,18.931434631347656,42,9,54
91,DOX,SimSenO,2008-08-24 21:30:05,77400,47.50689583333334,-122.21626388888888,0.0,19.2419376373291,43,9,54
92,DOX,SimSenO,2008-08-24 22:00:05,79200,47.50691666666667,-122.21627777777778,0.0,19.55925941467285,44,9,54
93,DOX,SimSenO,2008-08-24 22:30:05,81000,47.5069375,-122.21629166666666,0.0,19.888139724731445,45,9,54
94,DOX,SimSenO,2008-08-24 23:00:05,82800,47.50695833333334,-122.21630555555556,0.0,20.160720825195312,46,9,54
95,DOX,SimSenO,2008-08-24 23:30:05,84600,47.50697916666667,-122.21631944444444,0.0,20.09581756591797,47,9,54
96,DOX,SimSenO,2008-08-25 00:00:05,0,47.507000000000005,-122.21633333333334,0.0,7.0,0,9,54
97,DOX,SimSenO,2008-08-25 00:30:05,1800,47.507020833333335,-122.21634722222224,0.0,8.699989318847656,1,9,54
98,DOX,SimSenO,2008-08-25 01:00:05,3600,47.507041666666666,-122.21636111111113,0.0,9.969569206237793,2,9,54
